Nama PT,Prodies
Politeknik Prasetiya Mandiri,Teknik Komputer (D3)
Politeknik Prasetiya Mandiri,Teknik Otomotif (Kampus Kota Metro) (D3)
Politeknik Prasetiya Mandiri,Teknik Sipil (Kampus Kota Metro) (D3)
Politeknik Prasetiya Mandiri,Teknologi Rekayasa Multimedia (Kampus Kota Palembang) (D4)
Politeknik Prasetiya Mandiri,Usaha Perjalanan Pariwisata (Kampus Kota Palembang) (D3)
Sekolah Tinggi Ilmu Kesehatan Aisyiyah Yogyakarta,Bidan Pendidik (D4)
Sekolah Tinggi Ilmu Kesehatan Aisyiyah Yogyakarta,Fisioterapi (S1)
Sekolah Tinggi Ilmu Kesehatan Aisyiyah Yogyakarta,Ilmu Kebidanan (S2)
Sekolah Tinggi Ilmu Kesehatan Aisyiyah Yogyakarta,Ilmu Keperawatan (S1)
Sekolah Tinggi Ilmu Kesehatan Aisyiyah Yogyakarta,Kebidanan (D3)
Sekolah Tinggi Ilmu Kesehatan Aisyiyah Yogyakarta,Profesi Ners (Profesi)
Akademi Kesejahteraan Sosial Tarakanita,Tata Boga (D3)
Akademi Kesejahteraan Sosial Tarakanita,Tata Busana (D3)
STMIK Primakara,Sistem Informasi (D3)
STMIK Primakara,Sistem Informasi (S1)
STMIK Primakara,Sistem Informasi Akuntansi (S1)
STMIK Primakara,Teknik Informatika (S1)
Akademi Farmasi 17 Agustus 1945 Semarang,Analis Farmasi (D3)
Sekolah Tinggi Ilmu Administrasi Said Perintah,Ilmu Administrasi Negara (S1)
Sekolah Tinggi Ilmu Administrasi Said Perintah,Ilmu Administrasi Niaga (S1)
Sekolah Tinggi Ilmu Ekonomi Syariah Nahdlatul Ulama Bengkulu,Ekonomi Syariah (S1)
Sekolah Tinggi Ilmu Ekonomi Syariah Nahdlatul Ulama Bengkulu,Perbankan Syariah (S1)
STAIN Zawiyah Cot Kala Langsa,Bimbingan dan Konseling Islam (S1)
STAIN Zawiyah Cot Kala Langsa,Ekonomi Syari'ah (S1)
STAIN Zawiyah Cot Kala Langsa,Hukum Ekonomi Syariah (Muamalah) (S1)
STAIN Zawiyah Cot Kala Langsa,Hukum Keluarga (Akhwal Syaksiyah) (S1)
STAIN Zawiyah Cot Kala Langsa,Hukum Pidana Islam (Jinayah) (S1)
STAIN Zawiyah Cot Kala Langsa,Hukum Tata Negara (S1)
STAIN Zawiyah Cot Kala Langsa,Ilmu al-Quran dan Tafsir (S1)
STAIN Zawiyah Cot Kala Langsa,Ilmu Hadis (S1)
